,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
1392,Not eligible for coverage / N/A,Yes,No,No,No,I don't know,Yes,Yes
1393,Not eligible for coverage / N/A,,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No
1394,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe
1395,Yes,No,No,No,I don't know,Somewhat difficult,Yes,No
1396,,,,,,,,
1397,Yes,Yes,No,I don't know,I don't know,Very difficult,Yes,Maybe
1398,Yes,Yes,No,No,I don't know,Very easy,No,No
1399,Yes,Yes,No,No,Yes,Somewhat easy,No,No
1400,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No
1401,Yes,No,No,Yes,I don't know,I don't know,Maybe,Maybe
1402,No,Yes,Yes,No,No,I don't know,Maybe,No
1403,No,I am not sure,Yes,No,I don't know,Somewhat difficult,Yes,Maybe
1404,,,,,,,,
1405,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No
1406,No,No,No,No,No,Somewhat difficult,Yes,No
1407,I don't know,I am not sure,No,I don't know,Yes,I don't know,Maybe,No
1408,,,,,,,,
1409,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No
1410,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes
1411,Yes,I am not sure,No,No,Yes,Very easy,Yes,Yes
1412,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No
1413,Yes,Yes,No,I don't know,Yes,Somewhat easy,No,No
1414,Yes,Yes,No,I don't know,Yes,Very difficult,No,No
1415,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,No
1416,No,No,No,No,I don't know,Somewhat easy,Maybe,No
1417,No,,No,No,I don't know,Very difficult,Yes,Maybe
1418,Yes,I am not sure,Yes,No,I don't know,Neither easy nor difficult,Yes,No
1419,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
1420,,,,,,,,
1421,No,No,No,No,Yes,Very easy,Maybe,No
1422,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe
1423,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,No,No
1424,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,Maybe,No
1425,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No
1426,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No
1427,Yes,No,No,No,Yes,Somewhat easy,No,No
1428,,,,,,,,
1429,,,,,,,,
1430,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe
1431,I don't know,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,No
1432,Yes,No,No,No,I don't know,Very difficult,Maybe,No
